Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist,angular_distance_from_cluster_center_2,Linear_distance_from_cluster_center,Star_Count
0,71.1015,182.534,27.4232,20.3071,251.761,-45.8436,2.11959,1.47111,-6.93827,-1,0.694053,-44.5432,1.08282,Gaia DR3 5940106763006665088,251.7604178,-45.84373404,0,0,88,1.63615E+18,5.94011E+18,442373055,0.3393,0.2407,0.2265,0.3787,0.598,3.613,-1.435,0.431,-3.315,0.343,0.0283,-0.2084,-0.1637,0.0569,-0.1265,0.0977,-0.3995,-0.1456,0.0521,-0.1376,279,0,278,1,2.7375,406.87,1.6,4.7661,95,FALSE,,1.1134,0.0753,0.025,0.154,0.038,-0.078,-0.082,32,15,0.611129,34,0.03993,108,1,0,1.118,0,279,370.41672,1.51489,244.517,19.26564,0.005226,2,16.6961,2.02414,8.24849,22.282003,0.131658,6,379.801,25.9075,14.6599,18.299004,0.074158,1.07,0,0,0,1,2,3.983,3.016363,0.966637,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999997,,,,,,,,,,,,,,,,,,,,,,,251.7604269,-45.8437193,6.954292,5.596155,-0.1407,1.540212,4.29E-04,0.029964091,1
0,55.4044,317.412,27.4199,22.4869,251.761,-45.846,5.19682,0.653348,-5.9602,-1,0.125721,77.7387,7.99074,Gaia DR3 5940106763016851456,251.7607265,-45.84623278,0.001,0,87,1.63615E+18,5.94011E+18,1739927137,0.5233,0.3673,-1.2278,0.5862,-2.0944,3.856,-1.919,0.712,-3.345,0.539,0.0357,-0.1677,-0.0445,0.1329,-0.0393,0.153,-0.399,0.025,0.0671,-0.0482,253,0,251,2,2.2076,335.51,1.935,2.9109,95,FALSE,,1.1312,0.1169,0.066,0.127,0.069,-0.024,0.056,29,14,0.98917,30,0.07755,93.85,0,0,1.1,0,226,220.782,1.80244,122.491,19.827457,0.009282,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,251.7607387,-45.84621792,11.433861,8.773922,-0.0595,1.083555,0.00243904,0.170276955,2
0,117.28,109.748,18.7219,19.8486,251.775,-45.8436,5.26843,3.15654,-8.043,-1,0.599142,31.3932,34.3781,Gaia DR3 5940106041452144512,251.7760946,-45.84425265,0.001,0.001,84,1.63615E+18,5.94011E+18,271112523,0.8559,0.5624,1.4731,0.8937,1.6484,5.259,-4.316,1.208,-3.004,1.152,0.0983,0.1573,0.1774,0.5266,-0.4093,0.4146,-0.3231,-0.1316,0.4539,0.1364,189,0,185,4,8.3909,415.47,3.437,11.289,95,FALSE,,1.3071,0.1689,-0.031,0.175,0.051,0.027,-0.111,23,12,1.799008,24,0.05032,111.5,2,0,1.473,0,175,245.36795,2.21341,110.855,19.712822,0.010174,4,42.4171,6.62515,6.40243,21.269691,0.169605,9,1860.23,163.167,11.4007,16.57398,0.095309,7.754,0,4,0,9,0,4.695711,1.55687,3.138842,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999973,,,,,,,,,,,,,,,,,,,,,,,251.7761222,-45.84423929,19.198416,18.625635,0.1002,3.6221,0.003578707,0.249840675,3
0,29.749,88.3447,32.2277,17.7281,251.754,-45.8405,4.73178,0.464661,-5.51038,-1,0.0981999,-30.5158,3.91881,Gaia DR3 5940106763007026176,251.7542436,-45.8401984,0.001,0,78,1.63615E+18,5.94011E+18,835845142,0.8299,0.4835,-0.3183,0.8679,-0.3668,2.339,-0.589,1.136,-2.263,0.842,0.2561,0.0593,-0.3401,-0.1135,0.043,-0.1247,-0.3113,-0.2988,-0.0743,0.1304,222,0,220,2,4.0014,328.24,2.901,4.1176,95,FALSE,,1.2766,0.1636,-0.131,0.08,0.007,-0.065,0.044,26,14,1.633528,28,0.09675,18.31,2,7,1.198,0,229,152.29088,0.959276,158.756,20.230682,0.007373,4,26.6641,12.2959,2.16854,21.773727,0.500685,5,340.708,72.804,4.67979,18.41694,0.232036,2.412,0,0,0,0,0,3.356787,1.543045,1.813742,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999994,,,,,,,,,,,,,,,,,,,,,,,251.7542474,-45.84018834,18.476083,13.62957,0.1366,1.248219,0.003934479,0.274678216,4
0,14.3522,31.9253,35.2623,19.6185,251.749,-45.8424,2.39828,1.73248,-5.23108,-1,0.722386,-77.9044,9.81367,Gaia DR3 5940106763006678144,251.7485531,-45.84325631,0.001,0,76,1.63615E+18,5.94011E+18,1236682996,0.6129,0.3742,0.6997,0.6365,1.0994,3.617,-2.569,0.753,-2.545,0.541,0.2817,-0.1324,-0.4508,-0.1445,-0.013,-0.1705,-0.492,-0.3047,-0.0664,0.1992,246,9,242,4,1.5621,285.55,0.858,0.62182,95,FALSE,,1.3154,0.1153,-0.08,0.105,0.22,-0.157,-0.115,29,15,1.119522,30,0.04728,54.72,0,3,1.071,0,249,186.72262,1.02114,182.857,20.009375,0.006546,11,29.6889,8.18796,3.62593,21.657057,0.29945,17,461.916,15.0673,30.6568,18.086489,0.035617,2.633,0,0,0,2,1,3.570568,1.647682,1.922886,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999996,,,,,,,,,,,,,,,,,,,,,,,251.7485694,-45.843245,12.333718,8.839907,0.2051,3.275509,0.004043428,0.282284245,5
0,63.149,47.0176,31.5379,23.5615,251.754,-45.847,1.28301,1.27915,-4.76664,-1,0.996995,-56.518,25.1882,Gaia DR3 5940106763006657664,251.7536002,-45.84707455,0.001,0,124,1.63615E+18,5.94011E+18,375225563,0.4548,0.3648,0.8025,0.4777,1.6802,4.631,-1.423,0.784,-4.407,0.694,-0.5743,-0.0399,0.0081,0.0519,-0.3743,0.3004,-0.4945,-0.2489,0.3099,-0.8259,187,0,187,0,1.0386,223.02,0.907,1.5878,95,FALSE,,1.2329,0.0843,-0.033,0.187,-0.291,-0.135,0.001,21,10,1.396295,33,0.008264,82.92,0,42,1.053,0,191,408.16242,1.69014,241.496,19.160284,0.005273,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,251.7536093,-45.84705496,12.549984,11.296446,-0.8243,1.032448,0.004190364,0.292542312,6
0,194.583,-42.0082,21.1288,24.2073,251.771,-45.8483,5.74663,0.252854,-0.00103619,-1,0.0440003,13.0686,34.5723,Gaia DR3 5940106041452123776,251.770894,-45.84805288,0,0,86,1.63615E+18,5.94011E+18,469227007,0.3983,0.2576,-0.496,0.435,-1.1403,5.086,-2.025,0.524,-4.665,0.423,0.0598,-0.0731,-0.3017,0.0748,-0.1931,0.1209,-0.4908,-0.2944,0.2238,-0.1105,242,0,242,0,0.7059,293.61,1.049,1.6051,95,FALSE,,1.1362,0.0876,0.021,0.078,0.13,-0.15,-0.05,29,15,0.753918,31,0.01038,56.17,0,0,1.031,0,246,303.48243,1.38472,219.165,19.482033,0.005669,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,251.770907,-45.84803214,8.505936,6.896745,-0.1145,0.92896,0.005302286,0.370169049,7
0,103.749,162.433,25.1847,25.3707,251.764,-45.8494,1.76863,1.2639,-6.49769,-1,0.714624,-36.3393,2.80953,Gaia DR3 5940106763006624896,251.7643248,-45.84959743,0,0,126,1.63615E+18,5.94011E+18,519945912,0.1742,0.142,0.4584,0.1737,2.6396,4.593,-3.534,0.295,-2.934,0.27,-0.6015,0.1849,-0.2683,0.15,-0.3444,0.2702,-0.5039,-0.1471,0.2306,-0.741,266,0,266,0,1.3106,613.65,0.748,9.339,95,FALSE,,1.0938,0.0329,-0.105,0.183,-0.217,-0.002,-0.094,31,13,0.522204,37,0.06191,35.83,1,30,1.057,0,269,1949.88433,6.26582,311.194,17.462345,0.004446,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,251.7643473,-45.84958439,4.766765,4.400571,-0.7358,1.067693,0.005815932,0.406028242,8
0,21.525,49.7122,35.321,24.7457,251.748,-45.8481,1.33337,1.13084,-4.83972,-1,0.848105,-89.4052,5.91899,Gaia DR3 5940106763016855424,251.7489847,-45.84801423,0.001,0,95,1.63615E+18,5.94011E+18,50201599,0.9115,0.4264,,,,,,,,,-0.1518,,,,,,,,,,107,0,106,1,1.8199,128.35,0.892,1.0569,3,FALSE,,,,,,,,,13,9,2.84763,15,0.1529,92.56,0,13,,0,51,602.71225,47.5283,12.6811,18.737091,0.085663,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,5.39E-04,4.10E-05,0.988811,,,,,,,,,,,,,,,,,,,,,,,251.7489847,-45.84801423,0.911484,0.426353,-0.1518,2.485322,0.006143744,0.428913867,9
0,27.098,83.1226,12.3869,17.5567,251.786,-45.8414,6.06989,0.727688,-5.05115,-1,0.119885,12.6228,4.93794,Gaia DR3 5940199877886897152,251.7866277,-45.84120059,0,0,103,1.63615E+18,5.9402E+18,1781817455,0.2596,0.1889,-0.3471,0.2875,-1.2072,4.545,-2.32,0.347,-3.909,0.302,-0.1619,-0.0706,-0.4443,0.1297,-0.1526,0.1636,-0.5536,-0.1257,0.1886,-0.2344,321,0,321,0,2.8378,462.38,1.137,4.3957,95,FALSE,,1.1749,0.0584,-0.168,0.155,-0.037,0.121,-0.155,38,19,0.52715,42,0.03155,100.6,0,12,1.114,0,312,488.72541,1.29153,378.407,18.964705,0.003978,5,31.5596,5.23708,6.02619,21.590714,0.180191,9,873.588,22.9131,38.1262,17.394629,0.028727,1.852,0,0,0,0,1,4.196085,2.626009,1.570076,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999999,,,,,,,,,,,,,,,,,,,,,,,251.7866425,-45.84118322,5.670223,4.94244,-0.2367,1.740778,0.007056689,0.492649363,10
