Ch.,B,A,x0,y0,Ra_1,Dec_1,FWHMx,FWHMy,Mag_1,Beta,r,Angle,RMSE,main_id,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx_1,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B_x,V,R_x,J,H,K,u,g,r_xa,i,z,angDist,Ra_2,Dec_2,Mag_2,ABS_Mag,luminosity,Mass,Plx_2,PM,RV,plx_in_arsec,distnace_from_earth,Separation,plx_arsec,distance_from_earth,TV,True_Velocity,velocity_dispersion,Log(Velocity Dispersion),L_size,Log(L_size),Log(Mass),average VD
1,45.7009,221.717,281.596,537.473,251.763,-45.8719,31.6091,30.5731,-13.5282,-1,0.967226,-70.2222,25.3801,Cl* Westerlund    1      W     237,251.7629571,-45.87193354,0,0,90,s*r,32,16 47 03.10971,-45 52 18.9607,A,2020yCat.1350....0G,RedSG,*|LP?|NIR|s*r|V*,-52.67,0.43,-1.76E-04,1.40E-06,M3I,,0.337,0.1235,-3.085,-4.119,0.148,0.119,90,,,,22.8,19.008,13.634,5.075,3.014,2.18,,,,,,0.166072,251.763,-45.8719,-13.5282,-26.53850011,3.53E+12,3845.66492,0.337,5.146,-52.67,3.37E-04,2967.359,0.166071674,3.37E-04,2967.35905,72.37994162,89.51527395,5.534554282,0.743082651,47.24217948,1.674329925,3.584971441,6.596946713
1,116.273,95.9901,261.943,271.037,251.766,-45.8459,34.8403,34.8402,-13.4111,-1,0.999997,17.8371,44.3688,Cl* Westerlund    1    BKS      F,251.7653542,-45.8454267,0,0,90,s*y,23,16 47 03.68501,-45 50 43.5361,A,2020yCat.1350....0G,YellowSG,*|NIR|s*y,,,,,F5Ia+,,0.1902,0.0695,-2.262,-3.615,0.087,0.074,90,,,,,15.05,,5.714,1.87,,,,,,,2.365802,,,,,,,,,,,,,1.90E-04,5257.623554,,,,,,,,
1,64.3157,148.278,238.296,379.801,251.769,-45.8565,38.3334,21.9584,-13.0203,-1,0.572826,32.2074,32.2702,Cl* Westerlund    1      W      20,251.7695697,-45.85665381,0,0,90,s*r,28,16 47 04.69673,-45 51 23.9537,A,2020yCat.1350....0G,RedSG,*|LP?|NIR|s*r|V*,,,,,M6I,,0.169,0.1073,-2.478,-4.041,0.136,0.111,90,,,,,,15.66,6.378,4.381,2.61,,,,,,1.540183,,,,,,,,,,,,,1.69E-04,5917.159763,,,,,,,,
1,32.0687,236.279,151.773,566.836,251.781,-45.8748,22.8172,21.6979,-12.7252,-1,0.950947,89.2085,22.4188,Cl* Westerlund    1      W     243,251.781267,-45.87475653,0,0,90,s*b,65,16 47 07.50407,-45 52 29.1235,A,2020yCat.1350....0G,BlueSG,*|LP?|NIR|s*b|V*|X,99.11,2.28,3.31E-04,7.60E-06,LBV,,0.0119,0.0812,-1.574,-4.036,0.108,0.086,90,,,,19.873,15.73,,6.407,5.271,4.632,,,,,,0.67431,251.781,-45.8748,-12.7252,-25.73549966,1.68E+12,3113.149384,0.0119,4.332,99.11,1.19E-05,84033.61,0.674310038,1.19E-05,84033.61345,1725.519297,1728.3632,,1.802216615,114.5776188,2.059099792,3.493199961,
1,37.9868,207.349,108.922,138.331,251.787,-45.8329,20.339,20.3063,-12.5226,-1,0.998391,84.8738,17.2599,2MASS J16470892-4549585,251.787166,-45.83290343,0,0,90,s*r,29,16 47 08.91983,-45 49 58.4524,A,2020yCat.1350....0G,RedSG,*|C*?|LP?|NIR|s*r,-50.02,0.51,-1.67E-04,1.70E-06,M4Ia,,0.0893,0.1477,-2.029,-4.248,0.181,0.155,90,,,,,16.7,,6.933,4.673,3.28,,,,,,0.409959,251.787,-45.8329,-12.5226,-25.53290013,1.40E+12,2951.519992,0.0893,4.708,,8.93E-05,11198.209,0.409959467,8.93E-05,11198.20829,249.8983199,254.8552108,11.86725149,1.074350146,68.30282247,1.83443865,3.470045729,
1,60.9681,186.919,331.43,248.007,251.756,-45.8437,23.5143,17.5127,-12.4922,-1,0.744766,-45.656,30.7221,Cl* Westerlund    1    BKS      H,251.7559458,-45.84368023,0,0,90,s*y,31,16 47 01.42699,-45 50 37.2488,A,2020yCat.1350....0G,YellowSG,*|NIR|s*y|V*,-47.44,0.4,-1.58E-04,1.30E-06,F3Ia+,,0.1796,0.0595,-2.237,-3.415,0.073,0.063,90,,,,18.781,14.47,11.8,6.105,5.036,4.418,,,,,,0.146931,251.756,-45.8437,-12.4922,-25.50249985,1.36E+12,2928.002289,0.1796,4.083,-46.71,1.80E-04,5567.9287,0.146931115,1.80E-04,5567.928731,107.7584665,117.7388662,6.429578648,0.808182513,51.38096451,1.710802252,3.466571412,
1,29.1002,209.269,187.428,39.0072,251.776,-45.8232,19.2035,16.7371,-12.2688,-1,0.871567,-56.0576,15.921,Cl* Westerlund    1      W     265,251.7761606,-45.82327058,0,0,90,s*y,27,16 47 06.27855,-45 49 23.7741,A,2020yCat.1350....0G,YellowSG,*|LP?|MIR|NIR|s*y|V*,-41.28,1.56,-1.38E-04,5.20E-06,F1-5Ia+,,0.2927,0.0776,-2.431,-3.5,0.096,0.087,90,,,,22,17.739,13.62,6.834,5.484,4.752,,,,,,0.473856,251.776,-45.8232,-12.2688,-25.27909974,1.11E+12,2760.831937,0.2927,4.261,,2.93E-04,3416.4675,0.473855602,2.93E-04,3416.467373,69.00287116,80.40792911,4.736696217,0.675475533,42.94399322,1.632902426,3.44103997,
1,122.041,77.906,271.495,298.281,251.764,-45.8486,18.0053,11.9435,-12.0397,-1,0.663335,57.4268,46.8847,Cl* Westerlund    1      W      43b,251.7646979,-45.84903482,0,0,90,s*b,8,16 47 03.52749,-45 50 56.5253,A,2020yCat.1350....0G,BlueSG,*|s*b,,,,,B1Ia,,,,-3.64,-4.446,0.247,0.129,90,,,,,,,,,,,,,,,2.337475,,,,,,,,,,,,,,,,,,,,,,
1,70.5521,182.235,266.501,184.514,251.765,-45.8375,18.3877,12.7989,-11.8802,-1,0.696056,-45.1445,33.4864,Cl* Westerlund    1      W       7,251.7651174,-45.83732375,0,0,90,s*b,31,16 47 03.62818,-45 50 14.3655,A,2020yCat.1350....0G,BlueSG,*|Em*|LP?|NIR|s*b|V*,,,,,B5Ia+,,0.1221,0.0593,-2.379,-3.713,0.074,0.063,90,,,,20,15.972,12.73,6.847,5.777,,,,,,,0.705153,251.765,-45.8375,-11.8802,-24.89050034,7.73E+11,2492.462372,0.1221,4.41,,1.22E-04,8190.0083,0.705153407,1.22E-04,8190.00819,171.1990192,,,,,,3.396628611,
1,55.2119,155.094,121.48,280.22,251.785,-45.8468,18.1527,14.1827,-11.83,-1,0.781295,-59.7176,31.7703,Cl* Westerlund    1      W      71,251.7852436,-45.84703838,0,0,90,s*b,24,16 47 08.45847,-45 50 49.3382,A,2020yCat.1350....0G,BlueSG,*|s*b|SB*|V*,-44.89,0.5,-1.50E-04,1.70E-06,B2.5Ia,,0.0652,0.066,-2.384,-4.054,0.084,0.081,90,,,,21.5,17.531,14.158,,,,,,,,,1.04294,,,,,,,,,,,,,6.52E-05,15337.42331,,,,,,,,
