ra,dec
2.51781049E+02,-4.58643960E+01
2.51784256E+02,-4.58808670E+01
2.51741209E+02,-4.58275784E+01
2.51801814E+02,-4.58422536E+01
2.51790270E+02,-4.58828667E+01
2.51749785E+02,-4.58331078E+01
2.51785426E+02,-4.58296116E+01
2.51787609E+02,-4.58643577E+01
2.51769617E+02,-4.58409821E+01
2.51771366E+02,-4.58425085E+01
2.51768237E+02,-4.58686521E+01
2.51768639E+02,-4.58386305E+01
2.51735054E+02,-4.58167283E+01
2.51799983E+02,-4.58302954E+01
2.51740868E+02,-4.58403972E+01
2.51738792E+02,-4.58497578E+01
2.51799128E+02,-4.58511604E+01
2.51719129E+02,-4.58346849E+01
2.51763406E+02,-4.58465670E+01
2.51735518E+02,-4.58402863E+01
2.51798780E+02,-4.58816689E+01
2.51744509E+02,-4.58360338E+01
2.51758016E+02,-4.58045195E+01
2.51757839E+02,-4.58690949E+01
2.51776617E+02,-4.58332396E+01
2.51735784E+02,-4.58898897E+01
2.51792335E+02,-4.58825445E+01
2.51723111E+02,-4.58370890E+01
2.51733914E+02,-4.58708668E+01
2.51782364E+02,-4.58366820E+01
2.51779395E+02,-4.58839206E+01
2.51726219E+02,-4.58573664E+01
2.51738629E+02,-4.58573758E+01
2.51763072E+02,-4.58459738E+01
2.51790656E+02,-4.58730766E+01
2.51740521E+02,-4.58574585E+01
2.51765862E+02,-4.58675143E+01
2.51757800E+02,-4.58533209E+01
2.51719482E+02,-4.58717752E+01
2.51779572E+02,-4.58414964E+01
2.51762149E+02,-4.58420044E+01
2.51761118E+02,-4.58788711E+01
2.51743845E+02,-4.58874578E+01
2.51743102E+02,-4.58894919E+01
2.51761177E+02,-4.58748400E+01
2.51765431E+02,-4.58610084E+01
2.51751443E+02,-4.58580144E+01
2.51758265E+02,-4.58385214E+01
2.51737356E+02,-4.58719699E+01
2.51754650E+02,-4.58544336E+01
2.51803970E+02,-4.58756333E+01
2.51775511E+02,-4.58912587E+01
2.51753475E+02,-4.58076443E+01
2.51740812E+02,-4.58214367E+01
2.51760611E+02,-4.58603422E+01
2.51788703E+02,-4.58409350E+01
2.51776275E+02,-4.58152736E+01
2.51734154E+02,-4.58350047E+01
2.51762584E+02,-4.59015808E+01
2.51763176E+02,-4.58747032E+01
2.51798634E+02,-4.58736420E+01
2.51774484E+02,-4.58963171E+01
2.51785458E+02,-4.58652494E+01
2.51759102E+02,-4.58498092E+01
2.51773770E+02,-4.58373018E+01
2.51788986E+02,-4.58703648E+01
2.51722669E+02,-4.58610345E+01
2.51715986E+02,-4.58521428E+01
2.51763023E+02,-4.58942202E+01
2.51737758E+02,-4.58564181E+01
2.51792757E+02,-4.58178464E+01
2.51739139E+02,-4.58531201E+01
2.51758814E+02,-4.58631882E+01
2.51781127E+02,-4.58393479E+01
2.51780393E+02,-4.58634454E+01
2.51767183E+02,-4.58517429E+01
2.51773715E+02,-4.58399038E+01
2.51756707E+02,-4.58518244E+01
2.51774893E+02,-4.58624580E+01
2.51722574E+02,-4.58834353E+01
2.51748806E+02,-4.58537888E+01
2.51766457E+02,-4.58965177E+01
2.51728128E+02,-4.58662522E+01
2.51784432E+02,-4.58709081E+01
2.51746246E+02,-4.58466171E+01
2.51759878E+02,-4.58521505E+01
2.51747344E+02,-4.58819760E+01
2.51732835E+02,-4.58706988E+01
2.51791249E+02,-4.58400214E+01
2.51761564E+02,-4.58525951E+01
2.51761218E+02,-4.58536729E+01
2.51758763E+02,-4.58614663E+01
2.51747791E+02,-4.58668782E+01
2.51760981E+02,-4.59013607E+01
2.51735475E+02,-4.58456223E+01
2.51755910E+02,-4.58610886E+01
2.51727425E+02,-4.58748995E+01
2.51734238E+02,-4.58323450E+01
2.51755155E+02,-4.58594551E+01
2.51713838E+02,-4.58622995E+01
2.51768172E+02,-4.58692535E+01
2.51809028E+02,-4.58484408E+01
2.51760734E+02,-4.58554252E+01
2.51765629E+02,-4.58497573E+01
2.51757508E+02,-4.58602117E+01
2.51776675E+02,-4.58539965E+01
2.51787943E+02,-4.58470783E+01
2.51729617E+02,-4.58329555E+01
2.51744446E+02,-4.58199066E+01
2.51729969E+02,-4.58248887E+01
2.51773184E+02,-4.58358550E+01
2.51749400E+02,-4.58292069E+01
2.51736943E+02,-4.58461961E+01
2.51760620E+02,-4.58511739E+01
2.51762105E+02,-4.58448961E+01
2.51759016E+02,-4.58532367E+01
2.51731915E+02,-4.58415796E+01
2.51755696E+02,-4.58497030E+01
2.51774645E+02,-4.58135268E+01
2.51739082E+02,-4.58450816E+01
2.51745476E+02,-4.58333942E+01
2.51731184E+02,-4.58140759E+01
2.51723026E+02,-4.58656177E+01
2.51764495E+02,-4.58525891E+01
2.51793679E+02,-4.58312788E+01
2.51761596E+02,-4.58540103E+01
2.51750856E+02,-4.58598969E+01
2.51718848E+02,-4.58428510E+01
2.51759351E+02,-4.58533057E+01
2.51735552E+02,-4.58162094E+01
2.51733541E+02,-4.58444541E+01
2.51746416E+02,-4.58068928E+01
2.51764566E+02,-4.58634028E+01
2.51769039E+02,-4.58516728E+01
2.51728398E+02,-4.58313853E+01
2.51755812E+02,-4.58559294E+01
2.51806201E+02,-4.58684166E+01
2.51790207E+02,-4.58616456E+01
2.51791878E+02,-4.58726363E+01
2.51762841E+02,-4.58494844E+01
2.51724076E+02,-4.58501096E+01
2.51727482E+02,-4.58670976E+01
2.51764390E+02,-4.58574392E+01
2.51736440E+02,-4.58210314E+01
2.51762730E+02,-4.58864801E+01
2.51779097E+02,-4.58412318E+01
2.51791804E+02,-4.58875873E+01
2.51766659E+02,-4.58525665E+01
2.51775468E+02,-4.58765186E+01
2.51769770E+02,-4.58686778E+01
2.51772947E+02,-4.58084650E+01
2.51786044E+02,-4.58710099E+01
2.51757349E+02,-4.58420346E+01
2.51773572E+02,-4.58683655E+01
2.51759534E+02,-4.58081838E+01
2.51721411E+02,-4.58652569E+01
2.51761874E+02,-4.58475440E+01
2.51736937E+02,-4.58820350E+01
2.51754402E+02,-4.58413578E+01
2.51757991E+02,-4.58541615E+01
2.51789925E+02,-4.58369695E+01
2.51757483E+02,-4.58538406E+01
2.51775390E+02,-4.58480555E+01
2.51759267E+02,-4.58208332E+01
2.51772949E+02,-4.58612760E+01
2.51759913E+02,-4.58192482E+01
2.51756932E+02,-4.58514834E+01
2.51783305E+02,-4.58558678E+01
2.51732475E+02,-4.58515022E+01
2.51780428E+02,-4.58594667E+01
2.51713858E+02,-4.58488361E+01
2.51748206E+02,-4.58422355E+01
2.51710515E+02,-4.58472116E+01
2.51740367E+02,-4.58501071E+01
2.51713163E+02,-4.58670118E+01
2.51743589E+02,-4.58662448E+01
2.51763250E+02,-4.58598389E+01
2.51765824E+02,-4.58602123E+01
2.51790593E+02,-4.58771416E+01
2.51761075E+02,-4.58492089E+01
2.51759931E+02,-4.58685327E+01
2.51767113E+02,-4.58597720E+01
2.51750125E+02,-4.58927052E+01
2.51791575E+02,-4.58228447E+01
2.51739457E+02,-4.58442370E+01
2.51774533E+02,-4.58608948E+01
2.51749552E+02,-4.58715346E+01
2.51780563E+02,-4.58095511E+01
2.51777891E+02,-4.58465003E+01
2.51749033E+02,-4.58845491E+01
2.51753951E+02,-4.58485636E+01
2.51738490E+02,-4.58422311E+01
2.51762749E+02,-4.58118080E+01
2.51735623E+02,-4.58727780E+01
2.51729019E+02,-4.58881838E+01
2.51772695E+02,-4.58957175E+01
2.51744559E+02,-4.58864457E+01
2.51742471E+02,-4.58402550E+01
2.51733669E+02,-4.58332489E+01
2.51792146E+02,-4.58406922E+01
2.51761016E+02,-4.58523342E+01
2.51782635E+02,-4.58553713E+01
2.51760157E+02,-4.58341053E+01
2.51766367E+02,-4.58449664E+01
2.51732748E+02,-4.58586693E+01
2.51735450E+02,-4.58705457E+01
2.51766166E+02,-4.58024471E+01
2.51763187E+02,-4.58458099E+01
2.51740793E+02,-4.58409145E+01
2.51740561E+02,-4.58328982E+01
2.51760498E+02,-4.58520086E+01
2.51783692E+02,-4.58135196E+01
2.51753597E+02,-4.58212599E+01
2.51751107E+02,-4.58237085E+01
2.51755550E+02,-4.58077394E+01
2.51774281E+02,-4.58460570E+01
2.51741411E+02,-4.58607145E+01
2.51776370E+02,-4.58789496E+01
2.51745942E+02,-4.58787562E+01
2.51755629E+02,-4.58251144E+01
2.51769690E+02,-4.58534233E+01
2.51755530E+02,-4.59006869E+01
2.51758041E+02,-4.58423782E+01
2.51774710E+02,-4.58782032E+01
2.51723829E+02,-4.58568432E+01
2.51732273E+02,-4.58708519E+01
2.51754027E+02,-4.58163885E+01
2.51725222E+02,-4.58612702E+01
2.51796927E+02,-4.58222173E+01
2.51787554E+02,-4.58522876E+01
2.51750950E+02,-4.58382752E+01
2.51749990E+02,-4.58807471E+01
2.51760290E+02,-4.58521351E+01
2.51752230E+02,-4.58399696E+01
2.51762145E+02,-4.58669721E+01
2.51732556E+02,-4.58572673E+01
2.51768377E+02,-4.58865966E+01
2.51773697E+02,-4.58714877E+01
2.51752983E+02,-4.58536521E+01
2.51741620E+02,-4.58117058E+01
2.51750670E+02,-4.58724404E+01
2.51723845E+02,-4.58534158E+01
2.51753467E+02,-4.58529572E+01
2.51763667E+02,-4.58540124E+01
2.51754479E+02,-4.58574988E+01
2.51751791E+02,-4.58657652E+01
2.51742268E+02,-4.58976644E+01
2.51765880E+02,-4.58926690E+01
2.51757724E+02,-4.58380476E+01
2.51776240E+02,-4.58409945E+01
2.51726680E+02,-4.58768287E+01
2.51754509E+02,-4.58981233E+01
2.51741975E+02,-4.58549011E+01
2.51731867E+02,-4.58782407E+01
2.51741483E+02,-4.58144713E+01
2.51746372E+02,-4.58333388E+01
2.51764097E+02,-4.58522999E+01
2.51799275E+02,-4.58430604E+01
2.51740274E+02,-4.58830046E+01
2.51767861E+02,-4.58337094E+01
2.51800332E+02,-4.58479120E+01
2.51804113E+02,-4.58628801E+01
2.51765205E+02,-4.58645270E+01
2.51772607E+02,-4.58851206E+01
2.51787115E+02,-4.58701393E+01
2.51776781E+02,-4.58112128E+01
2.51737211E+02,-4.58793053E+01
2.51770514E+02,-4.58244981E+01
2.51768571E+02,-4.58474933E+01
2.51742846E+02,-4.58927083E+01
